SNo,Date,Province,New Cases,New Recovered,New Deaths
1,11/3/2020,ICT,2,0,0
2,11/3/2020,Punjab,0,0,0
3,11/3/2020,Sindh,13,1,0
4,11/3/2020,KP,0,0,0
5,11/3/2020,KPTD,0,0,0
6,11/3/2020,Balochistan,1,0,0
7,11/3/2020,AJK,0,0,0
8,11/3/2020,GB,2,0,0
9,12/3/2020,ICT,2,0,0
10,12/3/2020,Punjab,0,0,0
11,12/3/2020,Sindh,12,2,0
12,12/3/2020,KP,0,0,0
13,12/3/2020,KPTD,0,0,0
14,12/3/2020,Balochistan,1,0,0
15,12/3/2020,AJK,0,0,0
16,12/3/2020,GB,3,0,0
17,13/3/2020,ICT,2,0,0
18,13/3/2020,Punjab,0,0,0
19,13/3/2020,Sindh,13,2,0
20,13/3/2020,KP,0,0,0
21,13/3/2020,KPTD,0,0,0
22,13/3/2020,Balochistan,1,0,0
23,13/3/2020,AJK,0,0,0
24,13/3/2020,GB,3,0,0
25,14/3/2020,ICT,3,0,0
26,14/3/2020,Punjab,0,0,0
27,14/3/2020,Sindh,13,3,0
28,14/3/2020,KP,0,0,0
29,14/3/2020,KPTD,0,0,0
30,14/3/2020,Balochistan,6,0,0
31,14/3/2020,AJK,0,0,0
32,14/3/2020,GB,3,0,0
41,15/3/2020,ICT,4,0,0
42,15/3/2020,Punjab,0,0,0
43,15/3/2020,Sindh,15,3,0
44,15/3/2020,KP,0,0,0
45,15/3/2020,KPTD,0,0,0
46,15/3/2020,Balochistan,6,0,0
47,15/3/2020,AJK,0,0,0
48,15/3/2020,GB,3,0,0
49,16/3/2020,ICT,4,0,0
50,16/3/2020,Punjab,1,0,0
51,16/3/2020,Sindh,32,3,0
52,16/3/2020,KP,0,0,0
53,16/3/2020,KPTD,0,0,0
54,16/3/2020,Balochistan,10,0,0
55,16/3/2020,AJK,0,0,0
56,16/3/2020,GB,3,0,0
57,16/3/2020,Mobile Lab Taftan Balochistan,0,0,0
58,17/3/2020,ICT,3,1,0
59,17/3/2020,Punjab,1,0,0
60,17/3/2020,Sindh,147,3,0
61,17/3/2020,KP,15,0,0
62,17/3/2020,KPTD,0,0,0
63,17/3/2020,Balochistan,14,0,0
64,17/3/2020,AJK,0,0,0
65,17/3/2020,GB,3,0,0
66,17/3/2020,Mobile Lab Taftan Balochistan,0,0,0
67,18/3/2020,ICT,3,1,0
68,18/3/2020,Punjab,26,0,0
69,18/3/2020,Sindh,169,3,0
70,18/3/2020,KP,17,0,0
71,18/3/2020,KPTD,0,0,0
72,18/3/2020,Balochistan,15,0,0
73,18/3/2020,AJK,0,0,0
74,18/3/2020,GB,5,0,0
75,18/3/2020,Mobile Lab Taftan Balochistan,0,0,0
76,19/3/2020,ICT,3,2,0
77,19/3/2020,Punjab,33,0,0
78,19/3/2020,Sindh,205,3,0
79,19/3/2020,KP,17,0,2
80,19/3/2020,KPTD,0,0,0
81,19/3/2020,Balochistan,23,0,0
82,19/3/2020,AJK,1,0,0
83,19/3/2020,GB,11,0,0
84,19/3/2020,Mobile Lab Taftan Balochistan,0,0,0
85,20/3/2020,ICT,8,2,0
86,20/3/2020,Punjab,80,0,0
87,20/3/2020,Sindh,242,3,0
88,20/3/2020,KP,21,0,2
89,20/3/2020,KPTD,0,0,0
90,20/3/2020,Balochistan,81,0,0
91,20/3/2020,AJK,1,0,0
92,20/3/2020,GB,21,0,0
93,20/3/2020,Mobile Lab Taftan Balochistan,0,0,0
94,21/3/2020,ICT,9,2,0
95,21/3/2020,Punjab,96,0,0
96,21/3/2020,Sindh,249,3,1
97,21/3/2020,KP,21,0,2
98,21/3/2020,KPTD,0,0,0
99,21/3/2020,Balochistan,81,0,0
100,21/3/2020,AJK,1,0,0
101,21/3/2020,GB,30,0,0
102,21/3/2020,Mobile Lab Taftan Balochistan,0,0,0
103,22/3/2020,ICT,9,2,0
104,22/3/2020,Punjab,152,0,0
105,22/3/2020,Sindh,288,3,1
106,22/3/2020,KP,29,0,2
107,22/3/2020,KPTD,0,0,0
108,22/3/2020,Balochistan,104,0,0
109,22/3/2020,AJK,1,0,0
110,22/3/2020,GB,55,0,0
111,22/3/2020,Mobile Lab Taftan Balochistan,0,0,0
112,23/3/2020,ICT,13,2,0
113,23/3/2020,Punjab,225,0,0
114,23/3/2020,Sindh,328,4,1
115,23/3/2020,KP,28,0,3
116,23/3/2020,KPTD,0,0,0
117,23/3/2020,Balochistan,107,0,1
118,23/3/2020,AJK,1,0,0
119,23/3/2020,GB,71,0,0
120,23/3/2020,Mobile Lab Taftan Balochistan,0,0,0
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
